node1_name,node2_name,endpoint1,endpoint2,bold,highlighted,properties,probability,no_edge
thread,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.831946755407654,0.168053244592346
thread,commit,TAIL,ARROW,FALSE,FALSE,dd;nl,1,0
thread,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.861896838602329,0.138103161397671
mail_dev,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.990016638935108,0.00998336106489184
mail_dev,churn,TAIL,ARROW,FALSE,FALSE,pd;nl,0.976705490848586,0.0232945091514143
file2,silence2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.995008319467554,0.00499168053244592
file2,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.868552412645591,0.131447587354409
file2,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.998336106489185,0.00166389351081531
file2,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.372712146422629,0.627287853577371
file2,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
file2,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
file,start,TAIL,ARROW,FALSE,FALSE,dd;nl,1,0
file,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.574043261231281,0.425956738768719
file,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
file,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.281198003327787,0.718801996672213
file,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.861896838602329,0.138103161397671
file,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.449251247920133,0.550748752079867
file,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
mail_dev,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.993344425956739,0.00665557404326123
mail_dev,mis_link,TAIL,ARROW,FALSE,FALSE,pd;nl,0.936772046589018,0.0632279534109818
mail_dev,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
