node1_name,node2_name,edge_type,properties,probability
mail_dev2,nv-mail_dev2,ta,dd;nl,0.00199600798403194
mail_dev2,nv-thread,nil,,0.998003992015968
mail_dev2,nv-thread,ta,dd;nl,0.00199600798403194
mail_dev2,silence,nil,,0.784431137724551
mail_dev2,silence,at,pd;nl,0.143712574850299
mail_dev2,silence,ta,pd;nl,0.0718562874251497
mail_dev2,silence2,ta,pd;nl,0.998003992015968
mail_dev2,silence2,at,pd;nl,0.00199600798403194
mis_link,b_122110,nil,,0.996007984031936
mis_link,b_122110,ta,dd;nl,0.00399201596806387
mis_link,b_134353,nil,,0.996007984031936
mis_link,b_134353,ta,dd;nl,0.00399201596806387
mis_link,b_140076,nil,,0.998003992015968
mis_link,b_140076,ta,dd;nl,0.00199600798403194
mis_link,b_160799,nil,,0.998003992015968
mis_link,b_160799,ta,dd;nl,0.00199600798403194
mis_link,b_162107,nil,,0.986027944111776
mis_link,b_162107,tt,,0.00598802395209581
mis_link,b_162107,ta,dd;nl,0.00399201596806387
mis_link,b_162107,at,dd;pl,0.00399201596806387
mis_link,b_162178,nil,,0.994011976047904
mis_link,b_162178,ta,dd;nl,0.00598802395209581
mis_link,b_162179,nil,,0.994011976047904
mis_link,b_162179,ta,dd;nl,0.00399201596806387
mis_link,b_162179,tt,,0.00199600798403194
mis_link,b_162180,nil,,0.998003992015968
mis_link,b_162180,ta,dd;nl,0.00199600798403194
mis_link,b_166303,nil,,0.998003992015968
mis_link,b_166303,ta,dd;nl,0.00199600798403194
mis_link,b_162182,nil,,0.994011976047904
mis_link,b_162182,at,dd;nl,0.00399201596806387
mis_link,b_162182,ta,dd;pl,0.00199600798403194
mis_link,b_167053,nil,,0.946107784431138
mis_link,b_167053,ta,dd;nl,0.0359281437125749
mis_link,b_167053,tt,,0.00998003992015968
mis_link,b_167053,at,dd;pl,0.00798403193612774
mis_link,b_173731,nil,,0.890219560878244
mis_link,b_173731,ta,dd;nl,0.0778443113772455
mis_link,b_173731,tt,,0.0219560878243513
mis_link,b_173731,at,dd;pl,0.00998003992015968
mis_link,b_173733,nil,,0.982035928143713
mis_link,b_173733,ta,dd;nl,0.0159680638722555
mis_link,b_173733,at,dd;pl,0.00199600798403194
mis_link,b_180734,nil,,0.986027944111776
mis_link,b_180734,ta,dd;nl,0.00598802395209581
mis_link,b_180734,at,dd;pl,0.00598802395209581
mis_link,b_180734,tt,,0.00199600798403194
mail_dev2,commit2,ta,dd;nl,0.854291417165669
mail_dev2,commit2,at,pd;nl,0.119760479041916
mail_dev2,commit2,nil,,0.0259481037924152
mail_dev2,churn,ta,pd;nl,0.682634730538922
mail_dev2,churn,nil,,0.191616766467066
mail_dev2,churn,at,pd;nl,0.125748502994012
mail_dev2,commit,ta,pd;nl,0.510978043912176
mail_dev2,commit,nil,,0.271457085828343
mail_dev2,commit,at,pd;pl,0.217564870259481
mail_dev2,b_180732,nil,,0.998003992015968
mail_dev2,b_180732,ta,dd;nl,0.00199600798403194
mail_dev2,b_80891,nil,,0.998003992015968
mail_dev2,b_80891,tt,,0.00199600798403194
mail_dev2,b_162178,nil,,0.998003992015968
mail_dev2,b_162178,ta,dd;nl,0.00199600798403194
mail_dev2,b_166302,nil,,0.998003992015968
mail_dev2,b_166302,ta,dd;nl,0.00199600798403194
mail_dev2,b_162108,nil,,0.998003992015968
mail_dev2,b_162108,ta,dd;nl,0.00199600798403194
mail_dev2,b_162176,nil,,0.998003992015968
mail_dev2,b_162176,ta,dd;nl,0.00199600798403194
mail_dev2,b_142970,nil,,0.998003992015968
mail_dev2,b_142970,ta,dd;nl,0.00199600798403194
mail_dev,thread2,ta,pd;nl,0.664670658682635
mail_dev,thread2,at,pd;nl,0.30938123752495
mail_dev,thread2,tt,,0.0199600798403194
mail_dev,thread2,nil,,0.00598802395209581
mail_dev2,b_160701,nil,,0.998003992015968
mail_dev2,b_160701,ta,dd;nl,0.00199600798403194
mail_dev,silence2,ta,pd;nl,0.838323353293413
mail_dev,silence2,nil,,0.153692614770459
mail_dev,silence2,at,pd;nl,0.00798403193612774
mail_dev,thread,ta,dd;nl,0.758483033932136
mail_dev,thread,at,pd;nl,0.18562874251497
mail_dev,thread,tt,,0.0558882235528942
mail_dev,nv-mis_link2,nil,,0.998003992015968
mail_dev,nv-mis_link2,ta,dd;nl,0.00199600798403194
mail_dev,silence,ta,pd;nl,1
mail_dev,nv-code_dev,nil,,0.998003992015968
mail_dev,nv-code_dev,ta,dd;nl,0.00199600798403194
mail_dev,nv-mail_dev2,nil,,0.998003992015968
mail_dev,nv-mail_dev2,tt,,0.00199600798403194
mail_dev,mail_dev2,ta,pd;nl,0.70059880239521
mail_dev,mail_dev2,at,pd;nl,0.243512974051896
mail_dev,mail_dev2,tt,,0.0339321357285429
mail_dev,mail_dev2,nil,,0.0219560878243513
mail_dev,nv-churn,nil,,0.998003992015968
mail_dev,nv-churn,ta,dd;nl,0.00199600798403194
mail_dev,file,ta,pd;nl,0.688622754491018
mail_dev,file,nil,,0.25748502994012
mail_dev,file,at,pd;nl,0.0538922155688623
mail_dev,file2,ta,pd;nl,0.570858283433134
mail_dev,file2,nil,,0.411177644710579
mail_dev,file2,at,pd;nl,0.0179640718562874
mail_dev,commit,nil,,0.479041916167665
mail_dev,commit,ta,pd;nl,0.273453093812375
mail_dev,commit,at,pd;pl,0.24750499001996
mail_dev,commit2,ta,pd;nl,0.856287425149701
mail_dev,commit2,at,pd;nl,0.109780439121756
mail_dev,commit2,nil,,0.0339321357285429
mail_dev,churn2,ta,pd;nl,0.710578842315369
mail_dev,churn2,at,pd;nl,0.145708582834331
