node1_name,node2_name,endpoint1,endpoint2,bold,highlighted,properties,probability
nv-mail_dev2,b_162176,TAIL,TAIL,FALSE,FALSE,"",0.00998003992015968
nv-mail_dev2,b_166303,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,b_162108,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,b_160701,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,b_150289,TAIL,TAIL,FALSE,FALSE,"",0.0179640718562874
nv-mail_dev2,b_151793,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,b_150285,TAIL,TAIL,FALSE,FALSE,"",0.0119760479041916
nv-mail_dev2,b_148275,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-mail_dev2,b_143568,TAIL,TAIL,FALSE,FALSE,"",0.0379241516966068
nv-mail_dev2,b_143569,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,b_143511,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,b_143510,TAIL,TAIL,FALSE,FALSE,"",0.0179640718562874
nv-mail_dev2,b_140195,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mail_dev2,b_140221,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00399201596806387
nv-mail_dev2,b_140160,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,b_140076,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mail_dev2,b_114619,TAIL,TAIL,FALSE,FALSE,"",0.031936127744511
nv-mail_dev2,b_130166,TAIL,TAIL,FALSE,FALSE,"",0.029940119760479
nv-mail_dev2,b_114577,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev2,b_104180,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev,nv-start,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mail_dev2,b_103864,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mail_dev,b_80891,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00399201596806387
nv-mail_dev,nv-silence,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-b_104180,nv-mail_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0259481037924152
nv-b_104180,churn2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-b_104180,mis_link,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-b_104180,nv-mis_link2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
nv-b_104180,nv-thread,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-churn,b_100740,TAIL,TAIL,FALSE,FALSE,"",0.0179640718562874
nv-churn,b_102939,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
